date,ticker,open,high,low,close,volume,adjclose
2021-02-01,1B0,0.098,0.098,0.089,0.09,2122399.0,0.09
2021-02-02,1B0,0.09,0.09,0.09,0.09,0.0,0.09
2021-02-03,1B0,0.09,0.09,0.09,0.09,0.0,0.09
2021-02-04,1B0,0.09,0.09,0.09,0.09,0.0,0.09
2021-02-05,1B0,0.09,0.09,0.09,0.09,0.0,0.09
2021-02-08,1B0,0.064,0.085,0.062,0.062,17365195.0,0.062
2021-02-09,1B0,0.066,0.068,0.062,0.063,9616130.0,0.063
2021-02-10,1B0,0.064,0.066,0.058,0.062,5061332.0,0.062
2021-02-11,1B0,0.063,0.065,0.062,0.064,623066.0,0.064
2021-02-15,1B0,0.064,0.064,0.06,0.062,1421332.0,0.062
2021-02-16,1B0,0.062,0.063,0.061,0.061,1503332.0,0.061
2021-02-17,1B0,0.061,0.068,0.061,0.064,4382932.0,0.064
2021-02-18,1B0,0.063,0.063,0.062,0.063,222399.0,0.063
2021-02-19,1B0,0.062,0.064,0.062,0.062,345066.0,0.062
2021-02-22,1B0,0.062,0.063,0.062,0.062,376399.0,0.062
2021-02-23,1B0,0.061,0.063,0.061,0.063,746399.0,0.063
2021-02-24,1B0,0.062,0.063,0.062,0.062,333599.0,0.062
2021-02-25,1B0,0.062,0.064,0.061,0.062,285199.0,0.062
2021-02-26,1B0,0.062,0.062,0.062,0.062,133999.0,0.062
2021-03-01,1B0,0.063,0.063,0.062,0.062,591866.0,0.062
2021-03-02,1B0,0.062,0.062,0.062,0.062,67599.0,0.062
2021-03-03,1B0,0.062,0.062,0.06,0.061,618533.0,0.061
2021-03-04,1B0,0.061,0.062,0.061,0.061,152933.0,0.061
2021-03-05,1B0,0.062,0.062,0.062,0.062,799999.0,0.062
2021-03-08,1B0,0.062,0.065,0.061,0.063,5396265.0,0.063
2021-03-09,1B0,0.063,0.064,0.062,0.062,304399.0,0.062
2021-03-10,1B0,0.061,0.061,0.06,0.061,829999.0,0.061
2021-03-11,1B0,0.062,0.063,0.062,0.063,923199.0,0.063
2021-03-12,1B0,0.064,0.068,0.064,0.068,4909198.0,0.068
2021-03-15,1B0,0.069,0.072,0.064,0.067,7652931.0,0.067
2021-03-16,1B0,0.066,0.066,0.062,0.064,6109865.0,0.064
2021-03-17,1B0,0.064,0.076,0.063,0.071,19166528.0,0.071
2021-03-18,1B0,0.075,0.083,0.074,0.076,17597000.0,0.076
2021-03-19,1B0,0.077,0.077,0.067,0.069,6647500.0,0.069
2021-03-22,1B0,0.067,0.067,0.059,0.062,10235200.0,0.062
2021-03-23,1B0,0.061,0.067,0.061,0.064,7454400.0,0.064
2021-03-24,1B0,0.063,0.063,0.054,0.057,24109700.0,0.057
2021-03-25,1B0,0.057,0.061,0.055,0.059,14869000.0,0.059
